numero_reg,tipo,ente,oggetto,data_pubblicazione,data_scadenza,link_dettaglio,allegati,data_pubblicazione_normalizzata,data_scadenza_normalizzata
0650/2023,Delibere di giunta,Comune di SQUILLACE,Servizi pubblici a domanda individuale. Determinazione delle tariffe e contribuzioni e individuazione del tasso di copertura dei costi di gestione per l'anno 2023.,20/07/2023,04/08/2023,,,2023-07-20,2023-08-04
Pubblicazione Annullata N.Reg0650/2023Data Annullamento :20/07/2023Motivazione :Errore materialeResponsabile:Giuseppina Riccelli,,,,,,,,,
0649/2023,Delibere di giunta,Comune di SQUILLACE,"Instaurazione di un rapporto di lavoro subordinato a tempo indeterminato e part-time al 16.67% ai sensi dell'articolo 92, comma 1, del D.Lgs. 267/2000, con l'Agente di polizia locale, sig. Salvatore Gatto, dipendente del comune di Montauro.",19/07/2023,03/08/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=19130752&sez=&data1=19/07/2023&data2=03/08/2023,allegati/fonte1/0649/2023/- Del_ G.C._n°58_del_19.07.2023.pdf,2023-07-19,2023-08-03
0648/2023,Delibere di giunta,Comune di SQUILLACE,Istituzione isola pedonale. Determinazioni -.,19/07/2023,03/08/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=19120718&sez=&data1=19/07/2023&data2=03/08/2023,allegati/fonte1/0648/2023/- Del. G.C. 57_23.pdf,2023-07-19,2023-08-03
0647/2023,Delibere di giunta,Comune di SQUILLACE,Centri estivi anno 2023 - Determinazioni -.,19/07/2023,03/08/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=19120754&sez=&data1=19/07/2023&data2=03/08/2023,allegati/fonte1/0647/2023/- Del. G.C. 53_23.pdf,2023-07-19,2023-08-03
0646/2023,Determine Dirigenziali,Comune di SQUILLACE,"Determina a contrarre per affidamento delle forniture/servizi, tramite affidamento diretto sul MePA di Consip. Avviso misura 1.3.1",18/07/2023,02/08/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=18090725&sez=&data1=18/07/2023&data2=02/08/2023,allegati/fonte1/0646/2023/- Det_n°376_del_29.06.2023.pdf,2023-07-18,2023-08-02
0645/2023,Determine Dirigenziali,Comune di SQUILLACE,"Determina a contrarre per affidamento delle forniture - servizi, tramite affidamento diretto sul mercato elettronico della Pubblica Amministrazione . Avviso Misura 1.4.3.-",18/07/2023,02/08/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=18090722&sez=&data1=18/07/2023&data2=02/08/2023,allegati/fonte1/0645/2023/- Det_n° 375_del_29.06.2023.pdf,2023-07-18,2023-08-02
0644/2023,Determine Dirigenziali,Comune di SQUILLACE,"Determina a contrarre per affidamento delle forniture/servizi, tramite affidamento diretto sul MePa di CONSIP. Avviso Pubblico 1.4.5",18/07/2023,02/08/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=18090759&sez=&data1=18/07/2023&data2=02/08/2023,allegati/fonte1/0644/2023/- Det_n°_374_del_29.06.2023.pdf,2023-07-18,2023-08-02
0643/2023,Determine Dirigenziali,Comune di SQUILLACE,"Determina a contrarre per affidamento delle forniture/servizi, tramite affidamento diretto sul MePa di CONSIP. Avviso Investimenti 1.2 ""Abilitazione al Cloud per le PA Locali Comunali (luglio 2022)"" M1C1 PNRR FINANZIATO DALL'UNIONE EUROPEA.-",18/07/2023,02/08/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=18090723&sez=&data1=18/07/2023&data2=02/08/2023,allegati/fonte1/0643/2023/- Det_n°_373_del_29.06.2023.pdf,2023-07-18,2023-08-02
0642/2023,Delibere di consiglio,Comune di SQUILLACE,Adozione del Piano Triennale OO.PP - Triennio 2023/2025 e dell'Elenco annuale dei lavori annualità 2023.-,17/07/2023,01/08/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=17130753&sez=&data1=17/07/2023&data2=01/08/2023,allegati/fonte1/0642/2023/- Del._C.C._n.11_del_25.06.2023.pdf,2023-07-17,2023-08-01
0641/2023,Delibere di consiglio,Comune di SQUILLACE,Approvazione elenco beni immobili non strumentali all'esercizio delle funzioni istituzionali suscettibili di valorizzazione o di alienazione. Esercizio annualità 2023.-,17/07/2023,01/08/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=17130703&sez=&data1=17/07/2023&data2=01/08/2023,allegati/fonte1/0641/2023/- Del._C.C._n.10_del_25.06.2023.pdf,2023-07-17,2023-08-01
0640/2023,Delibere di consiglio,Comune di SQUILLACE,Verifica qualità e quantità di aree e fabbricati da destinare ad attività produttive e terziarie. Annualità 2023.-,17/07/2023,01/08/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=17120714&sez=&data1=17/07/2023&data2=01/08/2023,allegati/fonte1/0640/2023/- Del_n.12_del_25.06.2023.pdf,2023-07-17,2023-08-01
0639/2023,Determine Dirigenziali,Comune di SQUILLACE,"Impegno e Liquidazione di Spesa in favore della ditta So.Ri.Cal. S.p.A. - Consumi del servizio di erogazione di acqua per uso idropotabile, relativi al periodo Aprile/Giugno (2° trimestre) Anno 2023.",17/07/2023,01/08/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=17100739&sez=&data1=17/07/2023&data2=01/08/2023,allegati/fonte1/0639/2023/- Det_n°_399_del_12.07.2023.pdf,2023-07-17,2023-08-01
0638/2023,Stato Civile - Pubb. di matrimonio,Comune di SQUILLACE,Atto di pubblicazione di matrimonio - Sposi: Ferraro/Varano -.,14/07/2023,22/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=14120739&sez=&data1=14/07/2023&data2=22/07/2023,allegati/fonte1/0638/2023/- Atto n. 7 P I.pdf,2023-07-14,2023-07-22
0637/2023,Delibere di consiglio,Comune di SQUILLACE,"Ricognizione periodica delle partecipazioni pubbliche ex art. 20, d.lgs. 19 Agosto 2016, n. 175: Approvazione",14/07/2023,29/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=14120726&sez=&data1=14/07/2023&data2=29/07/2023,allegati/fonte1/0637/2023/- Del_C.C._n.9_del_25.06.2023.pdf,2023-07-14,2023-07-29
0636/2023,Ordinanze,Comune di SQUILLACE,ISTUTUZIONE DIVIETO DI SOSTA E CHIUSURA AL TRAFFICO VEICOLARE PER GIORNO 16.7.2023,13/07/2023,28/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=13120753&sez=&data1=13/07/2023&data2=28/07/2023,allegati/fonte1/0636/2023/- ORDN.20_2023.pdf,2023-07-13,2023-07-28
0635/2023,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa - Lavori di ripristino e di manutenzione straordinaria impianto di depurazione “Donnatolla” di cui all’Ordinanza di Convalida di sequestro preventivo di urgenza con contestuale emissione di decreto di sequestro preventivo RGNR n. 2978/2022 - RG Gip n. 2312/2022 - RMR n. 220/2022 - Ditta Thema Impianti srl.-,13/07/2023,28/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=13120742&sez=&data1=13/07/2023&data2=28/07/2023,allegati/fonte1/0635/2023/- Det_n°_398_12.07.2023.pdf,2023-07-13,2023-07-28
0634/2023,Determine Dirigenziali,Comune di SQUILLACE,Impegno e contestuale Liquidazione all'Autorità Rifiuti e Risorse Idriche del costo pro-quota degli oneri di gestione degli impianti per il trattamento/smaltimento dei Rifiuti Solidi Urbani. Periodo Luglio/Agosto (4° bimestre) Annualità 2023.-,13/07/2023,28/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=13110703&sez=&data1=13/07/2023&data2=28/07/2023,allegati/fonte1/0634/2023/- Det_n°_397_del_12.07.2023.pdf,2023-07-13,2023-07-28
0633/2023,Determine Dirigenziali,Comune di SQUILLACE,Piano delle estinzioni - Liquidazione creditore - Ranieri marmi di Nicola & Vito eredi di Antonio Ranieri -,13/07/2023,28/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=13090718&sez=&data1=13/07/2023&data2=28/07/2023,allegati/fonte1/0633/2023/- Det_n°_391_del_11.07.2023.pdf,2023-07-13,2023-07-28
0632/2023,Delibere di giunta,Comune di SQUILLACE,Realizzazione di un percorso dedicato al tema dell'emigrazione. Determinazioni.,12/07/2023,27/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=12130744&sez=&data1=12/07/2023&data2=27/07/2023,allegati/fonte1/0632/2023/- Del_ G.C._n.49_del_14.06.2023.pdf,2023-07-12,2023-07-27
0631/2023,avvisi vari,Comune di SQUILLACE,Comunicazioni -.,12/07/2023,27/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=12110726&sez=&data1=12/07/2023&data2=27/07/2023,allegati/fonte1/0631/2023/- Prot. n. 4032.pdf,2023-07-12,2023-07-27
0630/2023,Determine Dirigenziali,Comune di SQUILLACE,Selezione pubblica per la copertura di n. 2 posti a tempo inditerminato e part-tima al 50% (n.18 ore settimanali) di Cat.C e profilo professionale di Istruttore di vigilanza. Nomina Commissione giudicatrice.,12/07/2023,27/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=12100759&sez=&data1=12/07/2023&data2=27/07/2023,allegati/fonte1/0630/2023/- Det_n°_395_del_12.07.2023.pdf,2023-07-12,2023-07-27
0629/2023,avvisi vari,Comune di SQUILLACE,"Avviso Pubblico, per Manifestazione di Interesse alla costituzione di una Comunità Energetica Rinnovabile.-",11/07/2023,26/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=11120700&sez=&data1=11/07/2023&data2=26/07/2023,"allegati/fonte1/0629/2023/- Manifestazione Interesse.pdf,allegati/fonte1/0629/2023/- Modello A.doc",2023-07-11,2023-07-26
0628/2023,avvisi vari,Comune di SQUILLACE,"Avviso Pubblico, per Manifestazione di Interesse alla costituzione di una Comunità Energetica Rinnovabile.-",11/07/2023,26/07/2023,,,2023-07-11,2023-07-26
Pubblicazione Annullata N.Reg0628/2023Data Annullamento :11/07/2023Motivazione :ERRORE MATERIALEResponsabile:Giuseppina Riccelli,,,,,,,,,
0627/2023,Determine Dirigenziali,Comune di SQUILLACE,Manifestazione d’interesse a costituire e/o partecipare ad una Comunità Energetica Rinnovabile sul territorio comunale. Approvazione Avviso e Modulistica.-,11/07/2023,26/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=11090742&sez=&data1=11/07/2023&data2=26/07/2023,"allegati/fonte1/0627/2023/- Det_n°_390_del_10.07.2023.pdf,allegati/fonte1/0627/2023/- Manifestazione Interesse.pdf,allegati/fonte1/0627/2023/- Modello A.pdf",2023-07-11,2023-07-26
0626/2023,Determine Dirigenziali,Comune di SQUILLACE,Manifestazione d’interesse a costituire e/o partecipare ad una Comunità Energetica Rinnovabile sul territorio comunale. Approvazione Avviso e Modulistica.-,11/07/2023,26/07/2023,,,2023-07-11,2023-07-26
Pubblicazione Annullata N.Reg0626/2023Data Annullamento :11/07/2023Motivazione :errore materialeResponsabile:Giuseppina Riccelli,,,,,,,,,
0625/2023,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione compenso Revisore dei Conti trimestre Aprile. Giugno 2023.-,10/07/2023,25/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=10140723&sez=&data1=10/07/2023&data2=25/07/2023,allegati/fonte1/0625/2023/- Det_n°_389_del_10.07.2023.pdf,2023-07-10,2023-07-25
0624/2023,Determine Dirigenziali,Comune di SQUILLACE,liquidazione compenso Revisore dei Conti trimeste aprile - giugno 2023.-,10/07/2023,25/07/2023,,,2023-07-10,2023-07-25
Pubblicazione Annullata N.Reg0624/2023Data Annullamento :10/07/2023Motivazione :errore materialeResponsabile:Giuseppina Riccelli,,,,,,,,,
0623/2023,Delibere di giunta,Comune di SQUILLACE,"Aggiornamento del Catasto delle aree percorse dal fuoco - Catasto Incendi - Anno 2023 - I semestre -, ai sensi dell'art.10, comma 2 della Legge 21/11/2000 n° 353 - Legge quadro in materia di incendi boschivi - Approvazione elaborati progettuali ed elenco provvisorio.",10/07/2023,25/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=10130735&sez=&data1=10/07/2023&data2=25/07/2023,"allegati/fonte1/0623/2023/- Del_G.C._n°_55_del_05.07.2023.pdf,allegati/fonte1/0623/2023/- B.5 Schede aree percorse dal fuoco.pdf,allegati/fonte1/0623/2023/- B.6 Database Particelle Catastali.pdf,allegati/fonte1/0623/2023/- B.7 Database Particelle Vincolate.pdf",2023-07-10,2023-07-25
0622/2023,Determine Dirigenziali,Comune di SQUILLACE,Impegno di spesa - Fornitura blocchetti per accertamenti delle violazioni al codice della strada ed ordinanze - Ditta Maggioli Spa.-,10/07/2023,25/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=10100722&sez=&data1=10/07/2023&data2=25/07/2023,allegati/fonte1/0622/2023/- Det_n°387_del_06.07.2023.pdf,2023-07-10,2023-07-25
0621/2023,Determine Dirigenziali,Comune di SQUILLACE,Impegno di spesa - Torino rinnovo canone cloud per utilizzo fototrappole - Ditta Sintec Informatica di Arduino Alessandra e C. snc.-,10/07/2023,25/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=10100721&sez=&data1=10/07/2023&data2=25/07/2023,allegati/fonte1/0621/2023/- Det_n°386_del_06.07.2023.pdf,2023-07-10,2023-07-25
0620/2023,Determine Dirigenziali,Comune di SQUILLACE,Selezione pubblica per la copertura di n. 2 posti a tempo indeterminato e part-time al 50% (n.18 ore settimanali) di Cat. C e profilo professionale di Istruttore di vigilanza. Accoglimento di istanza di revisione di esclusione. Riammissione candidato.,07/07/2023,22/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=7130716&sez=&data1=07/07/2023&data2=22/07/2023,allegati/fonte1/0620/2023/- Det_n°_388_del_07.07.2023.pdf,2023-07-07,2023-07-22
0619/2023,Delibere di giunta,Comune di SQUILLACE,Approvazione schema di convenzione tra il Comune di Vallefiorita e il Comune di Squillace per l'utilizzo di un dipendente del Comune di Vallefiorita.,07/07/2023,22/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=7120757&sez=&data1=07/07/2023&data2=22/07/2023,"allegati/fonte1/0619/2023/- Del_G.C._n.54_del_05.07.2023.pdf,allegati/fonte1/0619/2023/- Schema Convenzione.pdf",2023-07-07,2023-07-22
0618/2023,Ordinanze,Comune di SQUILLACE,"FUNZIONAMENTO IMPIANTO SEMAFORICO SU TUTTO L'ARCO DELLE 24 H ED ESTENSIONE DEL FUNZIONAMENTO DEL SISTEMA ""P@RCV.20"" PER IL RILEVAMENTO DELLE INFRAZIONI SEMAFORICHE (PASSAGGIO CON IL ROSSO).",06/07/2023,21/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=6160725&sez=&data1=06/07/2023&data2=21/07/2023,allegati/fonte1/0618/2023/- ORD.N.19_2023.pdf,2023-07-06,2023-07-21
0617/2023,Determine Dirigenziali,Comune di SQUILLACE,Riscossione-Liquidazione. Comunicazione Agenzia delle Entrate.-,06/07/2023,21/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=6120724&sez=&data1=06/07/2023&data2=21/07/2023,allegati/fonte1/0617/2023/- Det_n° 385_del_04.07.2023.pdf,2023-07-06,2023-07-21
0616/2023,Permessi di costruzione,Comune di SQUILLACE,PERMESSO DI COSTRUIRE N. 02 del 05/07/2023,05/07/2023,04/08/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=5120705&sez=&data1=05/07/2023&data2=04/08/2023,allegati/fonte1/0616/2023/- PdC n. 02-2023.pdf,2023-07-05,2023-08-04
0615/2023,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione fattura n. 64 del 28.04.2023 emessa da PALIFM S.R.L.- Canone annuo manutenzione e assistenza applicativi Cityware 2023.,04/07/2023,19/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=4110744&sez=&data1=04/07/2023&data2=19/07/2023,allegati/fonte1/0615/2023/- Det_n°384_del_04.07.2023.pdf,2023-07-04,2023-07-19
0614/2023,Ordinanze,Comune di SQUILLACE,Aree di sosta per parcheggi a pagamento -.,04/07/2023,02/09/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=4110711&sez=&data1=04/07/2023&data2=02/09/2023,allegati/fonte1/0614/2023/- Ord. n. 18- 2023.pdf,2023-07-04,2023-09-02
0613/2023,Determine Dirigenziali,Comune di SQUILLACE,Interventi di riefficientamento e rifunzionalizzazione dell’impianto di depurazione di Loc. Poveromo e delle stazioni di sollevamento comunali. Rideterminazione quadro economico a seguito della gara d’appalto.-,04/07/2023,19/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=4110725&sez=&data1=04/07/2023&data2=19/07/2023,allegati/fonte1/0613/2023/- Det_n°_381_del_30.06.2023.pdf,2023-07-04,2023-07-19
0612/2023,Determine Dirigenziali,Comune di SQUILLACE,"Liquidazione di Spesa -Servizi di igiene urbana e raccolta differenziata dei rifiuti solidi urbani e assimilati con il sistema porta a porta"". Canone mese di Giugno 2023. Ditta SI.ECO. s.p.a.-",03/07/2023,18/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=3120702&sez=&data1=03/07/2023&data2=18/07/2023,allegati/fonte1/0612/2023/- Det_n°_379_30.06.2023.pdf,2023-07-03,2023-07-18
0611/2023,Determine Dirigenziali,Comune di SQUILLACE,"Liquidazione di Spesa - Servizio di conduzione, manutenzione, controllo e custodia degli impianti di depurazione -Donnatolla, Madonna del Ponte, Poveromo e Fiasco Baldaia- e delle stazioni di sollevamento della rete fognaria -n° 7 di cui n° 2 capoluogo, n° 4 frazione marina, n° 1 Fiasco Baldaia-. Canone mese di Giugno 2023. Ditta THEMA Impianti s.r.l.-",03/07/2023,18/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=3120705&sez=&data1=03/07/2023&data2=18/07/2023,allegati/fonte1/0611/2023/- Det_n°_380_del_30.06.2023.pdf,2023-07-03,2023-07-18
0610/2023,Determine Dirigenziali,Comune di SQUILLACE,"Fondo per la progettazione definitiva ed esecutiva relativa ad interventi di messa in sicurezza del territorio a rischio idrogeologico, di messa in sicurezza ed efficientamento energetico delle scuole, degli edifici pubblici e del patrimonio degli enti locali.-",03/07/2023,18/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=3090729&sez=&data1=03/07/2023&data2=18/07/2023,allegati/fonte1/0610/2023/- Det_n°378_del_30.06.2023.pdf,2023-07-03,2023-07-18
0609/2023,Determine Dirigenziali,Comune di SQUILLACE,Impegno di spesa - rifacimento segnaletica stradale e fornitura segnali stradali - Società la Segnaletica di Luigi Maruca.,03/07/2023,18/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=3080741&sez=&data1=03/07/2023&data2=18/07/2023,allegati/fonte1/0609/2023/- Det_n°372_del_29.06.2023.pdf,2023-07-03,2023-07-18
0608/2023,Stato Civile - Pubb. di matrimonio,Comune di SQUILLACE,Atto di pubblicazione di matrimonio - Sposi: Cosentino-Caruso,30/06/2023,08/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=30120640&sez=&data1=30/06/2023&data2=08/07/2023,allegati/fonte1/0608/2023/- Atto n. 6 P. I.pdf,2023-06-30,2023-07-08
0607/2023,Determine Dirigenziali,Comune di SQUILLACE,Servizio tesoreria comunale - Proroga secondo trimestre 2023 -.,29/06/2023,09/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=29130645&sez=&data1=29/06/2023&data2=09/07/2023,allegati/fonte1/0607/2023/- Det.n. 371_23.pdf,2023-06-29,2023-07-09
0606/2023,Permessi di costruzione,Comune di SQUILLACE,Permesso di costruire N. 01 del 29.06.2023,29/06/2023,29/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=29110619&sez=&data1=29/06/2023&data2=29/07/2023,allegati/fonte1/0606/2023/- Permesso di costruire n. 01 del 29.06.2023.pdf,2023-06-29,2023-07-29
0605/2023,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione Carta Uffici comunali - Ditta Critelli Angela -.,29/06/2023,09/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=29110623&sez=&data1=29/06/2023&data2=09/07/2023,allegati/fonte1/0605/2023/- Det. n. 359_23.pdf,2023-06-29,2023-07-09
0604/2023,Determine Dirigenziali,Comune di SQUILLACE,Ditta il Faro srl servizio mensa scolastica mese di maggio - giugno -.,29/06/2023,09/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=29110659&sez=&data1=29/06/2023&data2=09/07/2023,allegati/fonte1/0604/2023/- Det. n. 360_23.pdf,2023-06-29,2023-07-09
0603/2023,avvisi vari,Comune di SQUILLACE,Avviso di deposito atti nella casa comunale in nome e per conto di: SOG.E.T. S.p.A. -  Sità Mauro -.,29/06/2023,30/06/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=29090625&sez=&data1=29/06/2023&data2=30/06/2023,allegati/fonte1/0603/2023/- prot. n. 3734.pdf,2023-06-29,2023-06-30
0602/2023,avvisi vari,Comune di SQUILLACE,Avviso di deposito atti nella casa comunale in nome e per conto di: SOG.E.T. S.p.A. -  Eredi Gregorace Antonella -.,29/06/2023,30/06/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=29090615&sez=&data1=29/06/2023&data2=30/06/2023,allegati/fonte1/0602/2023/- prot. n. 3733.pdf,2023-06-29,2023-06-30
0601/2023,Determine Dirigenziali,Comune di SQUILLACE,"Fondo per la progettazione definitiva ed esecutiva relativa ad interventi di sicurezza ed efficientamento energetico delle scuole, degli uffici pubblici e del patrimonio degli enti locali, nonchè per investimenti di messa in sicurezza di strade, ponti e viadotti.-",29/06/2023,14/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=29090644&sez=&data1=29/06/2023&data2=14/07/2023,allegati/fonte1/0601/2023/- Det_n°365_del_23.06.2023.pdf,2023-06-29,2023-07-14
0600/2023,Determine Dirigenziali,Comune di SQUILLACE,Presa d'atto della graduatoria della selezione pubblica per l'assunzione di n.2 tecnici con contratto di lavoro a tempo determinato della durata di anni due (2023-2024)e part-time al 50% nell'ambito del PNRR,28/06/2023,13/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=28130627&sez=&data1=28/06/2023&data2=13/07/2023,allegati/fonte1/0600/2023/- Det. n. 370_23.pdf,2023-06-28,2023-07-13
0599/2023,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione Carta uffici comunali - Ditta Critelli Angela ...,28/06/2023,08/07/2023,,,2023-06-28,2023-07-08
Pubblicazione Annullata N.Reg0599/2023Data Annullamento :29/06/2023Motivazione :Errore materialeResponsabile:Giuseppina Riccelli,,,,,,,,,
0598/2023,Determine Dirigenziali,Comune di SQUILLACE,Tassa  Automobistica -Atto di accertamento anno 2020/2021 - Liquidazione  .,28/06/2023,08/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=28110612&sez=&data1=28/06/2023&data2=08/07/2023,allegati/fonte1/0598/2023/- Det.n.350_23.pdf,2023-06-28,2023-07-08
0597/2023,Determine Dirigenziali,Comune di SQUILLACE,Legge n. 234/2021 art. 1 comma 172 – Fondo di solidarietà -  Approvazione avviso e modulistica “Trasporto scolastico alunni con disabilità residenti nel Comune di  Squillace ”  - Anno scolastico 202/202  - Approvazione bando e modello di domanda -  Riapertura termini -.-,28/06/2023,08/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=28110642&sez=&data1=28/06/2023&data2=08/07/2023,"allegati/fonte1/0597/2023/- Det. n. 368_23.pdf,allegati/fonte1/0597/2023/- Avviso tras. scolastico 2.pdf,allegati/fonte1/0597/2023/- Domanda tras. scolastico 2.pdf",2023-06-28,2023-07-08
0596/2023,Determine Dirigenziali,Comune di SQUILLACE,"Legge n. 234/2021, art.1, comma 172 – Concessione di contributi alle famiglie per il pagamento delle rette di frequenza di asili nido pubblici o privati annualità 2022  - Approvazione bando e modello di domanda -  Riapertura termini -.-",28/06/2023,08/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=28110641&sez=&data1=28/06/2023&data2=08/07/2023,"allegati/fonte1/0596/2023/- Det. n. 369_23.pdf,allegati/fonte1/0596/2023/- Domanda asili nido 2.pdf,allegati/fonte1/0596/2023/- Avviso asili nido 2.pdf",2023-06-28,2023-07-08
0595/2023,Determine Dirigenziali,Comune di SQUILLACE,Impegno di spesa - Acquisto Manifesti Grafiche Falcone.-,28/06/2023,13/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=28100602&sez=&data1=28/06/2023&data2=13/07/2023,allegati/fonte1/0595/2023/- Det_n°356_del_21.06.2023.pdf,2023-06-28,2023-07-13
0594/2023,Determine Dirigenziali,Comune di SQUILLACE,Efficientamento Energetico dell' impianto di pubblica illuminazione comunale in via Aiace. Rideterminazione quadro economico a seguito della gara d' appalto.-,28/06/2023,13/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=28080651&sez=&data1=28/06/2023&data2=13/07/2023,allegati/fonte1/0594/2023/- Det_n°367_del_23.06.2023.pdf,2023-06-28,2023-07-13
0593/2023,Determine Dirigenziali,Comune di SQUILLACE,Ammissione o esclusione dalla selezione pubblica per la copertura di n. 2 posti a tempo indeterminato e part-time al 50% (n.18 ore settimanali) di Cat. C e profilo professionale di Istruttore di vigilanza.-,23/06/2023,08/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=23120637&sez=&data1=23/06/2023&data2=08/07/2023,allegati/fonte1/0593/2023/- Det_n°_22_del_23.06.2023.pdf,2023-06-23,2023-07-08
0592/2023,Determine Dirigenziali,Comune di SQUILLACE,Servizio corrispondenza e postalizzazione tributi comunali - impegno di spesa e ricarica affrancatrice.-,23/06/2023,08/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=23120622&sez=&data1=23/06/2023&data2=08/07/2023,allegati/fonte1/0592/2023/- Det_n°_364_del_22.06.2023.pdf,2023-06-23,2023-07-08
0591/2023,Determine Dirigenziali,Comune di SQUILLACE,liquidazione Ditta Il Faro srl per servizio mensa scolastica mesi di maggi-giugno 2023 -.,23/06/2023,03/07/2023,,,2023-06-23,2023-07-03
Pubblicazione Annullata N.Reg0591/2023Data Annullamento :29/06/2023Motivazione :Errore materialeResponsabile:Giuseppina Riccelli,,,,,,,,,
0590/2023,Stato Civile - Pubb. di matrimonio,Comune di SQUILLACE,Atto di pubblicazione di Matrimonio - Sposi: Crispino/Aquino -.,23/06/2023,01/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=23120626&sez=&data1=23/06/2023&data2=01/07/2023,allegati/fonte1/0590/2023/- Atto n. 3 P.II.pdf,2023-06-23,2023-07-01
0589/2023,Delibere di giunta,Comune di SQUILLACE,Destinazione dei proventi delle sanzioni amministrative per violazioni al C.d.S. -.,23/06/2023,08/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=23110619&sez=&data1=23/06/2023&data2=08/07/2023,allegati/fonte1/0589/2023/- Del.G.C. n. 51_23.pdf,2023-06-23,2023-07-08
0588/2023,Delibere di giunta,Comune di SQUILLACE,Parcheggi a pagamento - Determinazioni -.,23/06/2023,08/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=23110645&sez=&data1=23/06/2023&data2=08/07/2023,allegati/fonte1/0588/2023/- Del. G.C. n. 50_23.pdf,2023-06-23,2023-07-08
0587/2023,Delibere di giunta,Comune di SQUILLACE,Rideterminazione tariffe occupazione suolo pubblico,23/06/2023,08/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=23110651&sez=&data1=23/06/2023&data2=08/07/2023,allegati/fonte1/0587/2023/- Del G.C. n. 48_23.pdf,2023-06-23,2023-07-08
0586/2023,Determine Dirigenziali,Comune di SQUILLACE,Conto della gestione degli Agenti contabili esterni per l'esercizio 2022.-,23/06/2023,08/07/2023,http://albosquillace.asmenet.it/allegati.php?id_doc=23110633&sez=&data1=23/06/2023&data2=08/07/2023,allegati/fonte1/0586/2023/- Det_n°_303_del_26.05.2023.pdf,2023-06-23,2023-07-08
